Time,"Time Code","Country Name","Country Code","GDP growth (annual %) [NY.GDP.MKTP.KD.ZG]","GDP at market prices (current US$) [NY.GDP.MKTP.CD]","GDP per capita (current US$) [NY.GDP.PCAP.CD]","GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]","Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS]","Foreign direct investment, net (BoP, current US$) [BN.KLT.DINV.CD]","GNI per capita, PPP (current international $) [NY.GNP.PCAP.PP.CD]","GINI index (World Bank estimate) [SI.POV.GINI]","Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]","Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]","Internet users (per 100 people) [IT.NET.USER.P2]","Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Adult literacy rate, population 15+ years, both sexes (%) [SE.ADT.LITR.ZS]","Unemployment, total (% of total labor force) [SL.UEM.TOTL.ZS]","Poverty headcount ratio at national poverty lines (% of population) [SI.POV.NAHC]","Agriculture, value added (% of GDP) [NV.AGR.TOTL.ZS]","CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC]","Central government debt, total (% of GDP) [GC.DOD.TOTL.GD.ZS]","Population, total [SP.POP.TOTL]"
1966,"YR1966","Bulgaria","BGR","","","","","","","","","","","","","71.2234146341464","","","","","5.90543671471388","","8258057"
1966,"YR1966","Burkina Faso","BFA","0.53761308310483","433889767.020677","82.5456246116711","80","5.05173084981366","","","","2.36410601983342","2.30311694455929","","11.6484883364785","37.3090487804878","","","","37.7769941843585","0.0195336585391838","","5256363"
1966,"YR1966","Burundi","BDI","4.61299289593052","165444571.428571","52.4574885176544","60","10.7761598187395","","","","4.43686006769054","3.15203396139819","","12.9921803763367","43.0550731707317","","","","","0.0151150377043634","","3153879"
1966,"YR1966","Cambodia","KHM","","914285714.285714","138.759551616721","","7.8125","","","","","","","12.8125","42.2894634146341","","","","","0.0712363786089923","","6588993"
1966,"YR1966","Cameroon","CMR","4.61495562069068","853268764.381481","139.17308042934","","20.9947348578922","","","","","0.188376712299004","","23.577236470666","44.158512195122","","","","31.8507941615601","0.0562222414324603","","6130990"
1966,"YR1966","Canada","CAN","6.58496540750693","60358632035.1532","3010.70590757947","2920","19.3370650966339","-1208005415.91759","","","3.73744694058903","4.98062677306621","","19.3063082692355","72.0043902439024","","","","","12.9349181464485","","20048000"
1966,"YR1966","Cabo Verde","CPV","","","","","","","","","","","","","51.2804146341464","","","","","0.0917648530853127","","239765"
1966,"YR1966","Cayman Islands","CYM","","","","","","","","","","","","","","","","","","2.17187870172945","","8442"
1966,"YR1966","Central African Republic","CAF","0.644999292634481","157930018.375448","93.8454206170209","90","28.3505154639175","","","","","4.47518727163431","","42.5257731958763","39.272756097561","","","","42.1487603305785","0.0501172399121978","","1682874"
1966,"YR1966","Chad","TCD","-1.8070923919984","432794922.459759","128.290155678065","120","13.9126155349236","","","","","5.98287514510287","","17.9632192439716","39.6513902439024","","","","38.4988750636948","0.0250005706133248","","3373563"
1966,"YR1966","Channel Islands","CHI","","","","","","","","","","","","","71.2993414634146","","","","","","","116226"
1966,"YR1966","Chile","CHL","10.001606065445","7013580346.15593","796.732852935028","740","14.809329877823","","","","22.8705377798848","28.4886810507974","","13.6986301369863","60.6432195121951","","","","9.26640926640927","2.1349009408917","","8802926"
1966,"YR1966","China","CHN","10.7000000120576","75879434776.1831","103.181173206667","110","3.53319057815846","","","","","-1.66985951178377","","3.27087794432548","51.2821951219512","","","","37.5910064239829","0.710891381561055","","735400000"
1966,"YR1966","Colombia","COL","5.32236812941078","5452762962.96296","276.488751695258","310","12.1127854991625","","","","16.7281682748599","14.9590949891199","","15.0757414182141","59.4633414634146","","","","28.4964605099963","1.19168652996552","","19721464"
1966,"YR1966","Comoros","COM","","","","","","","","","","","","","43.8456097560976","","","","","0.0875028634697618","","209536"
1966,"YR1966","Congo, Dem. Rep.","ZAR","6.77548530172186","4532660145.32842","253.761934385804","220","31.1194601537163","","","","15.7801012491141","4.97382219537657","","38.0208872502552","42.4724878048781","","","","21.6330259416313","0.134675336163199","","17861860"
1966,"YR1966","Congo, Rep.","COG","1.35898246236125","220613582.369827","185.333342044831","170","29.8892988929889","","","","","10.0273582947911","","51.1070110701107","51.8886585365854","","","","19.1881918819188","0.258768558445715","","1190361"
1966,"YR1966","Costa Rica","CRI","7.87070809413106","647305630.188679","394.172430937413","390","25.132915545794","","","","0.182882837621257","1.19637551071689","","30.843672737789","64.4205853658537","","","","","0.605141673705036","","1642189"
1966,"YR1966","Cote d'Ivoire","CIV","11.5773596873008","1024102881.90257","232.747798527602","230","36.4069906823357","","","","4.19131798405668","0.0416032246662184","","28.6963551921757","40.7619268292683","","","","37.4403808861126","0.294189798579745","","4400054"
1966,"YR1966","Croatia","HRV","","","","","","","","","","","","","66.8627804878049","","","","","","","4313000"
1966,"YR1966","Cuba","CUB","","","","","","","","","","","","","67.649243902439","","","","","1.87228676464423","","8110428"
1966,"YR1966","Curacao","CUW","","","","","","","","","","","","","","","","","","","","136682"
1966,"YR1966","Cyprus","CYP","","","","","","","","","0.506072874499057","","","","71.4525365853659","","","","","2.123850397481","","585311"
1966,"YR1966","Czech Republic","CZE","","","","","","","","","","","","","70.3848780487805","","","","","","","9821040"
1966,"YR1966","Denmark","DNK","2.74091010903237","11721248101.0874","2443.2597913502","","28.5519489369917","","","","7.06495969658888","6.83265872288004","","30.7832083643087","72.4441463414634","","","","","10.4490116586529","","4797381"
1966,"YR1966","Djibouti","DJI","","","","","","","","","","","","","46.633512195122","","","","","1.13411140410847","","122868"
1966,"YR1966","Dominica","DMA","","","","","","","","","","","","","","","","","","0.221220119146369","","66305"
1966,"YR1966","Dominican Republic","DOM","13.4633448335443","983900000","245.890352246239","250","16.3431243012501","","","","0.262927256794588","-2.35871003954156","","25.3379408476471","56.0442682926829","","","","24.8644908315073","0.417894139942325","","4001377"
1966,"YR1966","Ecuador","ECU","-0.339525639357717","2429309513.80854","449.398432949665","340","10.4856999890863","","","","5.4537269277332","2.11715397114871","","11.114369199533","56.2193414634146","","","","29.2636245451606","0.447716962046672","","5405692"
1966,"YR1966","Egypt, Arab Rep.","EGY","1.05664607672911","5339520612.99374","168.647077370974","","16.9496328300442","","","","9.03644065817633","4.60808503271923","","19.8965162865436","50.9204878048781","","","","27.9448793663874","0.839007616773161","","31660914"
1966,"YR1966","El Salvador","SLV","7.16113773959989","929520000","282.494787103198","","24.6621912384887","","","","-1.18735543593396","-1.17531735857035","","29.7788105688958","53.3366097560976","","","","","0.396746046145799","","3290397"
1966,"YR1966","Equatorial Guinea","GNQ","","69110000","250.880313645769","","43.8190324603289","","","","","","","30.8445473399894","38.5315609756098","","","","","0.0931825607144154","","275470"
1966,"YR1966","Eritrea","ERI","","","","","","","","","","","","","39.0610731707317","","","","","","","1629333"
1966,"YR1966","Estonia","EST","","","","","","","","","","","","","69.6806829268293","","","","","","","1308597"
1966,"YR1966","Ethiopia","ETH","","","","","","","","","-1.36186770466925","","","","41.6559756097561","","","","","0.0321777363097543","","25641176"
1966,"YR1966","Faroe Islands","FRO","","","","","","","","","","","","","","","","","","3.78616454733181","","36804"
1966,"YR1966","Fiji","FJI","0","150603925.515853","316.176267906957","300","43.4419381787803","","","","","2.48287671232875","","47.953216374269","58.4261951219512","","","","31.9852941176471","0.677464525569512","","476329"
